epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.702,1.08705,2.06453,1.08786,0.64019,0.63826,0.68496,0.50408,0.94517,1.35388,1.00295,0.000255173,0.000255173,0.000255173
2,251.653,1.01596,1.28054,1.06978,0.72492,0.65242,0.72002,0.52621,0.94134,1.20306,1.02483,0.000491251,0.000491251,0.000491251
3,369.453,0.99999,1.18531,1.07076,0.74008,0.68906,0.73788,0.54355,0.93212,1.14395,1.00812,0.000707027,0.000707027,0.000707027
4,487.182,0.98344,1.07823,1.05714,0.72193,0.66914,0.72717,0.54833,0.92834,1.08896,1.01265,0.000677643,0.000677643,0.000677643
5,604.532,0.95926,1.01791,1.04492,0.76769,0.67385,0.76216,0.5817,0.87587,0.95875,0.98399,0.00064719,0.00064719,0.00064719
6,724.021,0.92812,0.95527,1.02853,0.74411,0.71092,0.77256,0.59319,0.8628,0.9166,0.97533,0.000616738,0.000616738,0.000616738
7,845.148,0.91598,0.9143,1.01932,0.7807,0.7218,0.79848,0.61641,0.84811,0.83954,0.97371,0.000586286,0.000586286,0.000586286
8,966.093,0.89121,0.86885,1.00867,0.81698,0.73014,0.81649,0.62757,0.84477,0.80432,0.96365,0.000555833,0.000555833,0.000555833
9,1084.82,0.87982,0.84723,1.00074,0.79239,0.73671,0.81303,0.63327,0.83124,0.80244,0.96348,0.000525381,0.000525381,0.000525381
10,1205.34,0.86988,0.81977,0.99712,0.81906,0.71567,0.81747,0.63733,0.82738,0.79606,0.95206,0.000494928,0.000494928,0.000494928
11,1326.17,0.84542,0.78905,0.98368,0.8062,0.726,0.8153,0.64535,0.81211,0.7747,0.95397,0.000464476,0.000464476,0.000464476
12,1447.1,0.84794,0.78115,0.98737,0.80371,0.74998,0.83222,0.65465,0.8038,0.73772,0.95032,0.000434024,0.000434024,0.000434024
13,1568.38,0.83382,0.75845,0.97806,0.81906,0.74524,0.83619,0.65713,0.80878,0.71992,0.95231,0.000403571,0.000403571,0.000403571
14,1690.13,0.82931,0.73859,0.9745,0.81976,0.752,0.84443,0.66498,0.79695,0.7258,0.95085,0.000373119,0.000373119,0.000373119
15,1810.59,0.82399,0.72036,0.97591,0.81584,0.76319,0.84514,0.66928,0.78129,0.70821,0.9382,0.000342666,0.000342666,0.000342666
16,1931.7,0.8126,0.6995,0.96205,0.79822,0.7519,0.83377,0.65701,0.79184,0.7058,0.94561,0.000312214,0.000312214,0.000312214
17,2049.33,0.78855,0.66714,0.95308,0.82647,0.75049,0.84286,0.65702,0.82648,0.7171,0.95027,0.000281762,0.000281762,0.000281762
18,2166.16,0.78635,0.64924,0.95396,0.82513,0.7647,0.84675,0.66827,0.79038,0.67359,0.93874,0.000251309,0.000251309,0.000251309
19,2283.94,0.77225,0.6366,0.94475,0.83676,0.76676,0.85561,0.68085,0.77808,0.66993,0.9341,0.000220857,0.000220857,0.000220857
20,2401.07,0.76125,0.62268,0.9412,0.83127,0.77138,0.8552,0.6825,0.77806,0.67008,0.93184,0.000190404,0.000190404,0.000190404
21,2519.34,0.75524,0.60744,0.93801,0.81568,0.77607,0.85902,0.68902,0.76602,0.64972,0.93001,0.000159952,0.000159952,0.000159952
22,2638.25,0.7421,0.59304,0.93084,0.83775,0.77383,0.85618,0.68623,0.76241,0.63984,0.9306,0.0001295,0.0001295,0.0001295
23,2759.75,0.7327,0.57682,0.93184,0.83337,0.77509,0.86268,0.69026,0.7579,0.63375,0.92648,9.90472e-05,9.90472e-05,9.90472e-05
24,2878.17,0.7299,0.56988,0.92752,0.84158,0.76982,0.86096,0.69127,0.75669,0.63601,0.92418,6.85948e-05,6.85948e-05,6.85948e-05
25,2995.29,0.71928,0.56093,0.92421,0.83759,0.77742,0.86518,0.69509,0.75157,0.62394,0.92253,3.81424e-05,3.81424e-05,3.81424e-05
